"A","Agriculture, forestry and fishing"
"A.01","Crop and animal production, hunting and related service activities"
"A.01.1","Growing of non-perennial crops"
"A.01.1.1","Growing of cereals (except rice), leguminous crops and oil seeds"
"A.01.1.2","Growing of rice"
"A.01.1.3","Growing of vegetables and melons, roots and tubers"
"A.01.1.4","Growing of sugar cane"
"A.01.1.5","Growing of tobacco"
"A.01.1.6","Growing of fibre crops"
"A.01.1.9","Growing of other non-perennial crops"
"A.01.2","Growing of perennial crops"
"A.01.2.1","Growing of grapes"
"A.01.2.2","Growing of tropical and subtropical fruits"
"A.01.2.3","Growing of citrus fruits"
"A.01.2.4","Growing of pome fruits and stone fruits"
"A.01.2.5","Growing of other tree and bush fruits and nuts"
"A.01.2.6","Growing of oleaginous fruits"
"A.01.2.7","Growing of beverage crops"
"A.01.2.8","Growing of spices, aromatic, drug and pharmaceutical crops"
"A.01.2.9","Growing of other perennial crops"
"A.01.3","Plant propagation"
"A.01.3.0","Plant propagation"
"A.01.4","Animal production"
"A.01.4.1","Raising of cattle and buffaloes"
"A.01.4.2","Raising of horses and other equines"
"A.01.4.3","Raising of camels and camelids"
"A.01.4.4","Raising of sheep and goats"
"A.01.4.5","Raising of swine/pigs"
"A.01.4.6","Raising of poultry"
"A.01.4.9","Raising of other animals"
"A.01.5","Mixed farming"
"A.01.5.0","Mixed farming"
"A.01.6","Support activities to agriculture and post-harvest crop activities"
"A.01.6.1","Support activities for crop production"
"A.01.6.2","Support activities for animal production"
"A.01.6.3","Post-harvest crop activities"
"A.01.6.4","Seed processing for propagation"
"A.01.7","Hunting, trapping and related service activities"
"A.01.7.0","Hunting, trapping and related service activities"
"A.02","Forestry and logging"
"A.02.1","Silviculture and other forestry activities"
"A.02.1.0","Silviculture and other forestry activities"
"A.02.2","Logging"
"A.02.2.0","Logging"
"A.02.3","Gathering of non-wood forest products"
"A.02.3.0","Gathering of non-wood forest products"
"A.02.4","Support services to forestry"
"A.02.4.0","Support services to forestry"
"A.03","Fishing and aquaculture"
"A.03.1","Fishing"
"A.03.1.1","Marine fishing"
"A.03.1.2","Freshwater fishing"
"A.03.2","Aquaculture"
"A.03.2.1","Marine aquaculture"
"A.03.2.2","Freshwater aquaculture"
"B","Mining and quarrying"
"B.05","Mining of coal and lignite"
"B.05.1","Mining of hard coal"
"B.05.1.0","Mining of hard coal"
"B.05.2","Mining of lignite"
"B.05.2.0","Mining of lignite"
"B.06","Extraction of crude petroleum and natural gas"
"B.06.1","Extraction of crude petroleum"
"B.06.1.0","Extraction of crude petroleum"
"B.06.2","Extraction of natural gas"
"B.06.2.0","Extraction of natural gas"
"B.07","Mining of metal ores"
"B.07.1","Mining of iron ores"
"B.07.1.0","Mining of iron ores"
"B.07.2","Mining of non-ferrous metal ores"
"B.07.2.1","Mining of uranium and thorium ores"
"B.07.2.9","Mining of other non-ferrous metal ores"
"B.08","Other mining and quarrying"
